ANY,ACTIVITAT,IPCC_SECTOR,IPCC_DIVISIO,IPCC_CLASSE,IPCC_SUBCLASSE,NOM_SECTOR,NOM_DIVISIO,NOM_CLASSE,NOM_SUBCLASSE,CONTAMINANT,UNITATS,CO2EQ,EMISSIO GAS
2011,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,62.6,0.24
2011,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.07,0.07
2011,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,4245.5,4245.5
2012,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,54.69,0.21
2012,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.81,0.06
2012,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,3724.02,3724.02
2013,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,42.58,0.16
2013,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,2824.81,2824.81
2013,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.36,0.05
2014,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,39.39,0.15
2014,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,2719.68,2719.68
2014,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.23,0.04
2015,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.59,0.06
2015,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,3476.68,3476.68
2015,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,50.55,0.19
2016,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,3588.94,3588.94
2016,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.8,0.06
2016,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,52.19,0.2
2017,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,3862.71,3862.71
2017,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,2.03,0.07
2017,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,57.13,0.22
2018,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,51.3,0.19
2018,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,3472.82,3472.82
2018,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.82,0.06
2019,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,4114.3,4114.3
2019,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,58.64,0.22
2019,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.9,0.07
2020,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,40.51,0.15
2020,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.43,0.05
2020,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,2775.48,2775.48
2021,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CH4,Gg,1.34,0.05
2021,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,CO2,Gg,2668.17,2668.17
2021,1A1a,1,A,1,a,Processament de l'energia,Activitats de combustió,Sector energètic,Plantes de servei públic d'electricitat i calor,N2O,Gg,39.04,0.15
1990,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.62,0.06
1990,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.34,0.01
1990,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,2013.54,2013.54
1991,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.59,0.06
1991,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1944.04,1944.04
1991,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.32,0.01
1992,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.11,0.01
1992,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.35,0.05
1992,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1409.88,1409.88
1993,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.42,0.05
1993,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.19,0.01
1993,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1547.51,1547.51
1994,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.46,0.01
1994,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.54,0.06
1994,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1702.91,1702.91
1995,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.54,0.01
1995,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1785.49,1785.49
1995,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.58,0.06
1996,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1831,1831
1996,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.69,0.01
1996,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.66,0.06
1997,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.33,0.01
1997,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.47,0.05
1997,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1625.31,1625.31
1998,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.58,0.06
1998,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1808.97,1808.97
1998,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.46,0.01
1999,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,N2O,Gg,2.57,0.01
1999,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,1881.03,1881.03
1999,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.67,0.06
2000,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CH4,Gg,1.75,0.06
2000,1A1b,1,A,1,b,Processament de l'energia,Activitats de combustió,Sector energètic,Refí de petroli,CO2,Gg,2016.16,2016.16
